date,region,product,ai_resolution_rate
2026-06-18,East,Analytics Suite,76.32
2026-06-18,West,Core ERP,80.33
2026-06-18,West,CRM Cloud,73.17
2026-06-18,West,Analytics Suite,76.81
2026-06-19,North,Core ERP,80.74
2026-06-19,North,CRM Cloud,79.45
2026-06-19,North,Analytics Suite,72.64
2026-06-19,South,Core ERP,76.47
2026-06-19,South,CRM Cloud,76.56
2026-06-19,South,Analytics Suite,80.0
2026-06-19,East,Core ERP,77.69
2026-06-19,East,CRM Cloud,74.3
2026-06-19,East,Analytics Suite,72.64
2026-06-19,West,Core ERP,78.72
2026-06-19,West,CRM Cloud,76.2
2026-06-19,West,Analytics Suite,78.93
2026-06-20,North,Core ERP,78.99
2026-06-20,North,CRM Cloud,74.88
2026-06-20,North,Analytics Suite,75.93
2026-06-20,South,Core ERP,77.26
2026-06-20,South,CRM Cloud,76.0
2026-06-20,South,Analytics Suite,78.04
2026-06-20,East,Core ERP,77.19
2026-06-20,East,CRM Cloud,70.96
2026-06-20,East,Analytics Suite,77.93
2026-06-20,West,Core ERP,76.84
2026-06-20,West,CRM Cloud,79.57
2026-06-20,West,Analytics Suite,73.99
2026-06-21,North,Core ERP,76.55
2026-06-21,North,CRM Cloud,75.59
2026-06-21,North,Analytics Suite,74.19
2026-06-21,South,Core ERP,73.3
2026-06-21,South,CRM Cloud,73.21
2026-06-21,South,Analytics Suite,80.12
2026-06-21,East,Core ERP,77.01
2026-06-21,East,CRM Cloud,80.53
2026-06-21,East,Analytics Suite,74.88
2026-06-21,West,Core ERP,79.66
2026-06-21,West,CRM Cloud,72.16
2026-06-21,West,Analytics Suite,75.88
2026-06-22,North,Core ERP,74.93
2026-06-22,North,CRM Cloud,77.78
2026-06-22,North,Analytics Suite,75.19
2026-06-22,South,Core ERP,74.02
2026-06-22,South,CRM Cloud,79.41
2026-06-22,South,Analytics Suite,80.41
2026-06-22,East,Core ERP,71.0
2026-06-22,East,CRM Cloud,74.35
2026-06-22,East,Analytics Suite,78.63
2026-06-22,West,Core ERP,71.71
2026-06-22,West,CRM Cloud,80.93
2026-06-22,West,Analytics Suite,76.63
2026-06-23,North,Core ERP,73.09
2026-06-23,North,CRM Cloud,72.72
2026-06-23,North,Analytics Suite,77.01
2026-06-23,South,Core ERP,74.85
2026-06-23,South,CRM Cloud,76.81
2026-06-23,South,Analytics Suite,75.71
2026-06-23,East,Core ERP,78.22
2026-06-23,East,CRM Cloud,74.13
2026-06-23,East,Analytics Suite,74.53
2026-06-23,West,Core ERP,77.24
2026-06-23,West,CRM Cloud,78.49
2026-06-23,West,Analytics Suite,75.21
2026-06-24,North,Core ERP,75.53
2026-06-24,North,CRM Cloud,74.36
2026-06-24,North,Analytics Suite,81.35
2026-06-24,South,Core ERP,75.5
2026-06-24,South,CRM Cloud,79.43
2026-06-24,South,Analytics Suite,78.0
2026-06-24,East,Core ERP,75.4
2026-06-24,East,CRM Cloud,73.27
2026-06-24,East,Analytics Suite,79.01
2026-06-24,West,Core ERP,76.53
2026-06-24,West,CRM Cloud,73.2
2026-06-24,West,Analytics Suite,80.41
2026-06-25,North,Core ERP,78.37
2026-06-25,North,CRM Cloud,74.96
2026-06-25,North,Analytics Suite,75.7
2026-06-25,South,Core ERP,75.83
2026-06-25,South,CRM Cloud,79.82
2026-06-25,South,Analytics Suite,78.08
2026-06-25,East,Core ERP,74.84
2026-06-25,East,CRM Cloud,77.21
2026-06-25,East,Analytics Suite,81.69
2026-06-25,West,Core ERP,77.56
2026-06-25,West,CRM Cloud,78.21
2026-06-25,West,Analytics Suite,75.48
2026-06-26,North,Core ERP,76.82
2026-06-26,North,CRM Cloud,76.68
2026-06-26,North,Analytics Suite,74.57
2026-06-26,South,Core ERP,75.14
2026-06-26,South,CRM Cloud,78.76
2026-06-26,South,Analytics Suite,72.77
2026-06-26,East,Core ERP,77.47
2026-06-26,East,CRM Cloud,78.83
2026-06-26,East,Analytics Suite,77.49
2026-06-26,West,Core ERP,78.57
2026-06-26,West,CRM Cloud,77.58
2026-06-26,West,Analytics Suite,77.35
2026-06-27,North,Core ERP,75.56
2026-06-27,North,CRM Cloud,75.88
2026-06-27,North,Analytics Suite,78.75
2026-06-27,South,Core ERP,79.76
2026-06-27,South,CRM Cloud,80.48
2026-06-27,South,Analytics Suite,74.28
2026-06-27,East,Core ERP,80.91
2026-06-27,East,CRM Cloud,73.31
2026-06-27,East,Analytics Suite,77.4
2026-06-27,West,Core ERP,74.22
2026-06-27,West,CRM Cloud,76.0
2026-06-27,West,Analytics Suite,76.77
2026-06-28,North,Core ERP,72.79
2026-06-28,North,CRM Cloud,76.64
2026-06-28,North,Analytics Suite,80.78
2026-06-28,South,Core ERP,75.73
2026-06-28,South,CRM Cloud,75.17
2026-06-28,South,Analytics Suite,78.86
2026-06-28,East,Core ERP,76.16
2026-06-28,East,CRM Cloud,74.92
2026-06-28,East,Analytics Suite,77.1
2026-06-28,West,Core ERP,75.74
2026-06-28,West,CRM Cloud,79.16
2026-06-28,West,Analytics Suite,77.02
2026-06-29,North,Core ERP,78.65
2026-06-29,North,CRM Cloud,73.37
2026-06-29,North,Analytics Suite,75.08
2026-06-29,South,Core ERP,75.7
2026-06-29,South,CRM Cloud,73.93
2026-06-29,South,Analytics Suite,74.34
2026-06-29,East,Core ERP,73.73
2026-06-29,East,CRM Cloud,76.03
2026-06-29,East,Analytics Suite,77.7
2026-06-29,West,Core ERP,76.99
2026-06-29,West,CRM Cloud,79.44
2026-06-29,West,Analytics Suite,71.88
2026-06-30,North,Core ERP,80.53
2026-06-30,North,CRM Cloud,77.24
2026-06-30,North,Analytics Suite,73.66
2026-06-30,South,Core ERP,73.87
2026-06-30,South,CRM Cloud,77.11
2026-06-30,South,Analytics Suite,79.43
2026-06-30,East,Core ERP,80.81
2026-06-30,East,CRM Cloud,73.24
2026-06-30,East,Analytics Suite,79.05
2026-06-30,West,Core ERP,79.46
2026-06-30,West,CRM Cloud,75.39
2026-06-30,West,Analytics Suite,78.7
