week_start,region,product,customer_segment,survey_responses,csat_score
2026-01-05,East,Core ERP,Enterprise,5,86.2
2026-01-05,East,Core ERP,Mid-Market,24,82.2
2026-01-05,East,Core ERP,SMB,70,83.4
2026-01-05,North,Analytics Suite,Enterprise,7,73.7
2026-01-05,North,Analytics Suite,Mid-Market,51,74.8
2026-01-05,North,Analytics Suite,SMB,161,72.2
2026-01-05,North,CRM Cloud,Enterprise,15,80.3
2026-01-05,North,CRM Cloud,Mid-Market,46,79.1
2026-01-05,North,CRM Cloud,SMB,115,78.1
2026-01-05,North,Core ERP,Enterprise,12,82.4
2026-01-05,North,Core ERP,Mid-Market,48,83.2
2026-01-05,North,Core ERP,SMB,145,82.2
2026-01-05,South,Analytics Suite,Enterprise,11,75.7
2026-01-05,South,Analytics Suite,Mid-Market,37,73.8
2026-01-05,South,Analytics Suite,SMB,134,72.4
2026-01-05,South,CRM Cloud,Enterprise,7,79.1
2026-01-05,South,CRM Cloud,Mid-Market,44,80.5
2026-01-05,South,CRM Cloud,SMB,143,80.8
2026-01-05,South,Core ERP,Enterprise,11,83.9
2026-01-05,South,Core ERP,Mid-Market,42,85.6
2026-01-05,South,Core ERP,SMB,84,82.0
2026-01-05,West,Analytics Suite,Enterprise,5,75.8
2026-01-05,West,Analytics Suite,Mid-Market,48,75.1
2026-01-05,West,Analytics Suite,SMB,79,70.9
2026-01-05,West,CRM Cloud,Enterprise,10,82.0
2026-01-05,West,CRM Cloud,Mid-Market,48,80.5
2026-01-05,West,CRM Cloud,SMB,91,78.1
2026-01-05,West,Core ERP,Enterprise,10,85.3
2026-01-05,West,Core ERP,Mid-Market,45,81.7
2026-01-05,West,Core ERP,SMB,116,80.3
2026-01-12,East,Analytics Suite,Enterprise,8,77.4
2026-01-12,East,Analytics Suite,Mid-Market,28,71.8
2026-01-12,East,Analytics Suite,SMB,96,71.0
2026-01-12,East,CRM Cloud,Enterprise,9,79.9
2026-01-12,East,CRM Cloud,Mid-Market,24,82.6
2026-01-12,East,CRM Cloud,SMB,80,78.0
2026-01-12,East,Core ERP,Enterprise,8,83.0
2026-01-12,East,Core ERP,Mid-Market,32,84.7
2026-01-12,East,Core ERP,SMB,59,84.1
2026-01-12,North,Analytics Suite,Enterprise,9,74.8
2026-01-12,North,Analytics Suite,Mid-Market,40,75.8
2026-01-12,North,Analytics Suite,SMB,144,72.6
2026-01-12,North,CRM Cloud,Enterprise,12,81.4
2026-01-12,North,CRM Cloud,Mid-Market,56,81.1
2026-01-12,North,CRM Cloud,SMB,127,79.5
2026-01-12,North,Core ERP,Enterprise,11,81.7
2026-01-12,North,Core ERP,Mid-Market,36,85.4
2026-01-12,North,Core ERP,SMB,136,82.2
2026-01-12,South,Analytics Suite,Enterprise,9,76.1
2026-01-12,South,Analytics Suite,Mid-Market,34,70.6
2026-01-12,South,Analytics Suite,SMB,75,72.9
2026-01-12,South,CRM Cloud,Enterprise,7,79.2
2026-01-12,South,CRM Cloud,Mid-Market,38,80.6
2026-01-12,South,CRM Cloud,SMB,132,78.5
2026-01-12,South,Core ERP,Enterprise,12,82.8
2026-01-12,South,Core ERP,Mid-Market,45,80.8
2026-01-12,South,Core ERP,SMB,122,81.5
2026-01-12,West,Analytics Suite,Enterprise,11,74.3
2026-01-12,West,Analytics Suite,Mid-Market,37,73.6
2026-01-12,West,Analytics Suite,SMB,140,74.1
2026-01-12,West,CRM Cloud,Enterprise,12,80.5
2026-01-12,West,CRM Cloud,Mid-Market,45,79.0
2026-01-12,West,CRM Cloud,SMB,104,78.4
2026-01-12,West,Core ERP,Enterprise,9,84.3
2026-01-12,West,Core ERP,Mid-Market,43,84.1
2026-01-12,West,Core ERP,SMB,107,83.6
2026-01-19,East,Analytics Suite,Enterprise,7,75.0
2026-01-19,East,Analytics Suite,Mid-Market,27,74.6
2026-01-19,East,Analytics Suite,SMB,76,70.9
2026-01-19,East,CRM Cloud,Enterprise,8,82.9
2026-01-19,East,CRM Cloud,Mid-Market,27,80.4
2026-01-19,East,CRM Cloud,SMB,62,76.8
2026-01-19,East,Core ERP,Enterprise,8,85.7
2026-01-19,East,Core ERP,Mid-Market,33,82.1
2026-01-19,East,Core ERP,SMB,87,82.7
2026-01-19,North,Analytics Suite,Enterprise,10,73.8
2026-01-19,North,Analytics Suite,Mid-Market,54,72.8
2026-01-19,North,Analytics Suite,SMB,130,69.4
2026-01-19,North,CRM Cloud,Enterprise,10,79.3
2026-01-19,North,CRM Cloud,Mid-Market,46,80.1
2026-01-19,North,CRM Cloud,SMB,118,76.7
2026-01-19,North,Core ERP,Enterprise,9,84.9
2026-01-19,North,Core ERP,Mid-Market,35,85.9
2026-01-19,North,Core ERP,SMB,131,83.8
2026-01-19,South,Analytics Suite,Enterprise,11,75.5
2026-01-19,South,Analytics Suite,Mid-Market,41,73.8
2026-01-19,South,Analytics Suite,SMB,134,71.7
2026-01-19,South,CRM Cloud,Enterprise,9,79.6
2026-01-19,South,CRM Cloud,Mid-Market,32,79.3
2026-01-19,South,CRM Cloud,SMB,113,78.3
2026-01-19,South,Core ERP,Enterprise,7,85.4
2026-01-19,South,Core ERP,Mid-Market,38,86.2
2026-01-19,South,Core ERP,SMB,109,82.6
2026-01-19,West,Analytics Suite,Enterprise,10,73.3
2026-01-19,West,Analytics Suite,Mid-Market,37,74.6
2026-01-19,West,Analytics Suite,SMB,120,71.8
2026-01-19,West,CRM Cloud,Enterprise,11,79.0
2026-01-19,West,CRM Cloud,Mid-Market,49,80.7
2026-01-19,West,CRM Cloud,SMB,101,78.9
2026-01-19,West,Core ERP,Enterprise,9,87.0
2026-01-19,West,Core ERP,Mid-Market,48,81.6
2026-01-19,West,Core ERP,SMB,125,83.6
2026-01-26,East,Analytics Suite,Enterprise,9,73.6
2026-01-26,East,Analytics Suite,Mid-Market,27,70.7
2026-01-26,East,Analytics Suite,SMB,68,75.3
2026-01-26,East,CRM Cloud,Enterprise,6,82.9
2026-01-26,East,CRM Cloud,Mid-Market,33,79.5
2026-01-26,East,CRM Cloud,SMB,89,80.2
2026-01-26,East,Core ERP,Enterprise,6,84.4
2026-01-26,East,Core ERP,Mid-Market,33,83.2
2026-01-26,East,Core ERP,SMB,108,83.3
2026-01-26,North,Analytics Suite,Enterprise,11,75.8
2026-01-26,North,Analytics Suite,Mid-Market,42,72.0
2026-01-26,North,Analytics Suite,SMB,163,70.2
2026-01-26,North,CRM Cloud,Enterprise,15,80.5
2026-01-26,North,CRM Cloud,Mid-Market,57,80.6
2026-01-26,North,CRM Cloud,SMB,140,78.5
2026-01-26,North,Core ERP,Enterprise,9,86.0
2026-01-26,North,Core ERP,Mid-Market,43,83.3
2026-01-26,North,Core ERP,SMB,123,82.3
2026-01-26,South,Analytics Suite,Enterprise,10,73.9
2026-01-26,South,Analytics Suite,Mid-Market,32,74.4
2026-01-26,South,Analytics Suite,SMB,105,72.5
2026-01-26,South,CRM Cloud,Enterprise,13,80.4
2026-01-26,South,CRM Cloud,Mid-Market,42,82.2
2026-01-26,South,CRM Cloud,SMB,110,78.6
2026-01-26,South,Core ERP,Enterprise,8,86.8
2026-01-26,South,Core ERP,Mid-Market,33,84.8
2026-01-26,South,Core ERP,SMB,130,84.8
2026-01-26,West,Analytics Suite,Enterprise,5,74.8
2026-01-26,West,Analytics Suite,Mid-Market,47,74.7
2026-01-26,West,Analytics Suite,SMB,98,71.8
2026-01-26,West,CRM Cloud,Enterprise,8,83.3
2026-01-26,West,CRM Cloud,Mid-Market,28,79.5
2026-01-26,West,CRM Cloud,SMB,115,77.9
2026-01-26,West,Core ERP,Enterprise,11,84.0
2026-01-26,West,Core ERP,Mid-Market,42,83.7
2026-01-26,West,Core ERP,SMB,99,81.7
2026-02-02,East,Analytics Suite,Enterprise,9,75.3
2026-02-02,East,Analytics Suite,Mid-Market,23,76.5
2026-02-02,East,Analytics Suite,SMB,95,70.5
2026-02-02,East,CRM Cloud,Enterprise,6,80.1
2026-02-02,East,CRM Cloud,Mid-Market,38,79.5
2026-02-02,East,CRM Cloud,SMB,88,78.0
2026-02-02,East,Core ERP,Enterprise,6,82.8
2026-02-02,East,Core ERP,Mid-Market,22,84.1
2026-02-02,East,Core ERP,SMB,86,82.0
2026-02-02,North,Analytics Suite,Enterprise,15,76.6
2026-02-02,North,Analytics Suite,Mid-Market,37,72.3
2026-02-02,North,Analytics Suite,SMB,101,70.2
2026-02-02,North,CRM Cloud,Enterprise,10,80.1
2026-02-02,North,CRM Cloud,Mid-Market,43,79.3
2026-02-02,North,CRM Cloud,SMB,118,79.5
2026-02-02,North,Core ERP,Enterprise,13,83.5
2026-02-02,North,Core ERP,Mid-Market,43,82.9
2026-02-02,North,Core ERP,SMB,128,79.3
2026-02-02,South,Analytics Suite,Enterprise,7,72.9
2026-02-02,South,Analytics Suite,Mid-Market,30,73.5
2026-02-02,South,Analytics Suite,SMB,109,73.0
2026-02-02,South,CRM Cloud,Enterprise,11,83.0
2026-02-02,South,CRM Cloud,Mid-Market,30,79.0
2026-02-02,South,CRM Cloud,SMB,135,78.0
2026-02-02,South,Core ERP,Enterprise,9,85.2
2026-02-02,South,Core ERP,Mid-Market,28,82.8
2026-02-02,South,Core ERP,SMB,97,84.5
2026-02-02,West,Analytics Suite,Enterprise,7,73.4
2026-02-02,West,Analytics Suite,Mid-Market,39,72.2
2026-02-02,West,Analytics Suite,SMB,106,73.9
2026-02-02,West,CRM Cloud,Enterprise,9,81.0
2026-02-02,West,CRM Cloud,Mid-Market,37,78.3
2026-02-02,West,CRM Cloud,SMB,98,78.1
2026-02-02,West,Core ERP,Enterprise,9,81.9
2026-02-02,West,Core ERP,Mid-Market,48,85.3
2026-02-02,West,Core ERP,SMB,119,82.3
2026-02-09,East,Analytics Suite,Enterprise,6,74.8
2026-02-09,East,Analytics Suite,Mid-Market,31,72.0
2026-02-09,East,Analytics Suite,SMB,90,69.8
2026-02-09,East,CRM Cloud,Enterprise,7,81.1
2026-02-09,East,CRM Cloud,Mid-Market,32,80.7
2026-02-09,East,CRM Cloud,SMB,67,80.6
2026-02-09,East,Core ERP,Enterprise,7,87.0
2026-02-09,East,Core ERP,Mid-Market,29,81.6
2026-02-09,East,Core ERP,SMB,60,84.1
2026-02-09,North,Analytics Suite,Enterprise,11,76.1
2026-02-09,North,Analytics Suite,Mid-Market,53,75.5
2026-02-09,North,Analytics Suite,SMB,136,71.7
2026-02-09,North,CRM Cloud,Enterprise,14,79.6
2026-02-09,North,CRM Cloud,Mid-Market,52,80.5
2026-02-09,North,CRM Cloud,SMB,132,76.5
2026-02-09,North,Core ERP,Enterprise,16,81.5
2026-02-09,North,Core ERP,Mid-Market,26,81.3
2026-02-09,North,Core ERP,SMB,140,79.7
2026-02-09,South,Analytics Suite,Enterprise,9,75.0
2026-02-09,South,Analytics Suite,Mid-Market,41,73.3
2026-02-09,South,Analytics Suite,SMB,142,71.8
2026-02-09,South,CRM Cloud,Enterprise,10,83.4
2026-02-09,South,CRM Cloud,Mid-Market,36,78.8
2026-02-09,South,CRM Cloud,SMB,94,78.8
2026-02-09,South,Core ERP,Enterprise,12,85.0
2026-02-09,South,Core ERP,Mid-Market,38,80.9
2026-02-09,South,Core ERP,SMB,124,82.0
2026-02-09,West,Analytics Suite,Enterprise,10,74.3
2026-02-09,West,Analytics Suite,Mid-Market,45,74.3
2026-02-09,West,Analytics Suite,SMB,100,74.4
2026-02-09,West,CRM Cloud,Enterprise,10,82.4
2026-02-09,West,CRM Cloud,Mid-Market,48,80.8
2026-02-09,West,CRM Cloud,SMB,109,78.9
2026-02-09,West,Core ERP,Enterprise,9,87.9
2026-02-09,West,Core ERP,Mid-Market,38,84.6
2026-02-09,West,Core ERP,SMB,103,82.1
2026-02-16,East,Analytics Suite,Enterprise,6,73.3
2026-02-16,East,Analytics Suite,Mid-Market,32,73.2
2026-02-16,East,Analytics Suite,SMB,107,74.2
2026-02-16,East,CRM Cloud,Enterprise,7,82.0
2026-02-16,East,CRM Cloud,Mid-Market,19,79.9
2026-02-16,East,CRM Cloud,SMB,81,80.2
2026-02-16,East,Core ERP,Enterprise,6,86.4
2026-02-16,East,Core ERP,Mid-Market,34,80.8
2026-02-16,East,Core ERP,SMB,90,85.0
2026-02-16,North,Analytics Suite,Enterprise,10,74.9
2026-02-16,North,Analytics Suite,Mid-Market,38,72.6
2026-02-16,North,Analytics Suite,SMB,146,68.6
2026-02-16,North,CRM Cloud,Enterprise,14,81.2
2026-02-16,North,CRM Cloud,Mid-Market,42,80.2
2026-02-16,North,CRM Cloud,SMB,113,79.9
2026-02-16,North,Core ERP,Enterprise,11,85.6
2026-02-16,North,Core ERP,Mid-Market,36,82.9
2026-02-16,North,Core ERP,SMB,131,85.6
2026-02-16,South,Analytics Suite,Enterprise,10,77.6
2026-02-16,South,Analytics Suite,Mid-Market,53,73.7
2026-02-16,South,Analytics Suite,SMB,136,72.5
2026-02-16,South,CRM Cloud,Enterprise,7,82.9
2026-02-16,South,CRM Cloud,Mid-Market,39,79.7
2026-02-16,South,CRM Cloud,SMB,128,77.7
2026-02-16,South,Core ERP,Enterprise,9,86.1
2026-02-16,South,Core ERP,Mid-Market,42,84.5
2026-02-16,South,Core ERP,SMB,123,84.6
2026-02-16,West,Analytics Suite,Enterprise,8,76.3
2026-02-16,West,Analytics Suite,Mid-Market,48,78.6
2026-02-16,West,Analytics Suite,SMB,130,72.0
2026-02-16,West,CRM Cloud,Enterprise,11,81.5
2026-02-16,West,CRM Cloud,Mid-Market,44,81.4
2026-02-16,West,CRM Cloud,SMB,108,78.3
2026-02-16,West,Core ERP,Enterprise,9,84.5
2026-02-16,West,Core ERP,Mid-Market,48,83.9
2026-02-16,West,Core ERP,SMB,150,83.1
2026-02-23,East,Analytics Suite,Enterprise,5,73.6
2026-02-23,East,Analytics Suite,Mid-Market,28,75.6
2026-02-23,East,Analytics Suite,SMB,85,69.8
2026-02-23,East,CRM Cloud,Enterprise,7,81.1
2026-02-23,East,CRM Cloud,Mid-Market,31,77.7
2026-02-23,East,CRM Cloud,SMB,73,78.3
2026-02-23,East,Core ERP,Enterprise,6,83.2
2026-02-23,East,Core ERP,Mid-Market,30,85.4
2026-02-23,East,Core ERP,SMB,89,81.3
2026-02-23,North,Analytics Suite,Enterprise,11,74.1
2026-02-23,North,Analytics Suite,Mid-Market,50,72.7
2026-02-23,North,Analytics Suite,SMB,113,72.5
2026-02-23,North,CRM Cloud,Enterprise,11,82.2
2026-02-23,North,CRM Cloud,Mid-Market,49,83.1
2026-02-23,North,CRM Cloud,SMB,134,79.0
2026-02-23,North,Core ERP,Enterprise,9,83.8
2026-02-23,North,Core ERP,Mid-Market,51,84.0
2026-02-23,North,Core ERP,SMB,124,82.1
2026-02-23,South,Analytics Suite,Enterprise,13,73.3
2026-02-23,South,Analytics Suite,Mid-Market,36,72.9
2026-02-23,South,Analytics Suite,SMB,133,74.3
2026-02-23,South,CRM Cloud,Enterprise,9,79.9
2026-02-23,South,CRM Cloud,Mid-Market,37,82.4
2026-02-23,South,CRM Cloud,SMB,80,78.6
2026-02-23,South,Core ERP,Enterprise,10,83.8
2026-02-23,South,Core ERP,Mid-Market,39,83.8
2026-02-23,South,Core ERP,SMB,95,85.1
2026-02-23,West,Analytics Suite,Enterprise,9,75.1
2026-02-23,West,Analytics Suite,Mid-Market,36,74.8
2026-02-23,West,Analytics Suite,SMB,99,71.5
2026-02-23,West,CRM Cloud,Enterprise,13,79.9
2026-02-23,West,CRM Cloud,Mid-Market,28,79.7
2026-02-23,West,CRM Cloud,SMB,125,79.0
2026-02-23,West,Core ERP,Enterprise,8,85.7
2026-02-23,West,Core ERP,Mid-Market,36,84.0
2026-02-23,West,Core ERP,SMB,92,83.2
2026-03-02,East,Analytics Suite,Enterprise,7,73.7
2026-03-02,East,Analytics Suite,Mid-Market,36,74.2
2026-03-02,East,Analytics Suite,SMB,101,71.0
2026-03-02,East,CRM Cloud,Enterprise,9,81.1
2026-03-02,East,CRM Cloud,Mid-Market,32,82.4
2026-03-02,East,CRM Cloud,SMB,83,78.3
2026-03-02,East,Core ERP,Enterprise,6,86.2
2026-03-02,East,Core ERP,Mid-Market,30,82.3
2026-03-02,East,Core ERP,SMB,78,82.3
2026-03-02,North,Analytics Suite,Enterprise,10,74.5
2026-03-02,North,Analytics Suite,Mid-Market,46,74.6
2026-03-02,North,Analytics Suite,SMB,102,72.8
2026-03-02,North,CRM Cloud,Enterprise,14,80.8
2026-03-02,North,CRM Cloud,Mid-Market,39,83.3
2026-03-02,North,CRM Cloud,SMB,131,78.4
2026-03-02,North,Core ERP,Enterprise,13,84.3
2026-03-02,North,Core ERP,Mid-Market,42,83.9
2026-03-02,North,Core ERP,SMB,139,84.6
2026-03-02,South,Analytics Suite,Enterprise,9,73.4
2026-03-02,South,Analytics Suite,Mid-Market,36,73.6
2026-03-02,South,Analytics Suite,SMB,92,73.5
2026-03-02,South,CRM Cloud,Enterprise,13,82.9
2026-03-02,South,CRM Cloud,Mid-Market,41,78.6
2026-03-02,South,CRM Cloud,SMB,120,77.6
2026-03-02,South,Core ERP,Enterprise,7,87.1
2026-03-02,South,Core ERP,Mid-Market,33,85.4
2026-03-02,South,Core ERP,SMB,95,80.6
2026-03-02,West,Analytics Suite,Enterprise,9,69.7
2026-03-02,West,Analytics Suite,Mid-Market,29,75.0
2026-03-02,West,Analytics Suite,SMB,101,72.6
2026-03-02,West,CRM Cloud,Enterprise,10,83.0
2026-03-02,West,CRM Cloud,Mid-Market,42,81.5
2026-03-02,West,CRM Cloud,SMB,76,76.3
2026-03-02,West,Core ERP,Enterprise,6,85.2
2026-03-02,West,Core ERP,Mid-Market,51,84.2
2026-03-02,West,Core ERP,SMB,127,85.2
2026-03-09,East,Analytics Suite,Enterprise,7,74.3
2026-03-09,East,Analytics Suite,Mid-Market,20,75.9
2026-03-09,East,Analytics Suite,SMB,79,73.3
2026-03-09,East,CRM Cloud,Enterprise,5,82.0
2026-03-09,East,CRM Cloud,Mid-Market,32,76.9
2026-03-09,East,CRM Cloud,SMB,65,77.1
2026-03-09,East,Core ERP,Enterprise,7,83.2
2026-03-09,East,Core ERP,Mid-Market,30,85.0
2026-03-09,East,Core ERP,SMB,88,81.9
2026-03-09,North,Analytics Suite,Enterprise,11,79.1
2026-03-09,North,Analytics Suite,Mid-Market,50,72.1
2026-03-09,North,Analytics Suite,SMB,130,72.7
2026-03-09,North,CRM Cloud,Enterprise,9,81.9
2026-03-09,North,CRM Cloud,Mid-Market,40,81.5
2026-03-09,North,CRM Cloud,SMB,132,78.4
2026-03-09,North,Core ERP,Enterprise,12,84.1
2026-03-09,North,Core ERP,Mid-Market,37,83.9
2026-03-09,North,Core ERP,SMB,94,81.2
2026-03-09,South,Analytics Suite,Enterprise,13,74.1
2026-03-09,South,Analytics Suite,Mid-Market,41,70.4
2026-03-09,South,Analytics Suite,SMB,118,71.2
2026-03-09,South,CRM Cloud,Enterprise,8,82.4
2026-03-09,South,CRM Cloud,Mid-Market,39,79.8
2026-03-09,South,CRM Cloud,SMB,112,79.4
2026-03-09,South,Core ERP,Enterprise,10,85.3
2026-03-09,South,Core ERP,Mid-Market,28,82.7
2026-03-09,South,Core ERP,SMB,85,80.4
2026-03-09,West,Analytics Suite,Enterprise,12,76.4
2026-03-09,West,Analytics Suite,Mid-Market,45,74.9
2026-03-09,West,Analytics Suite,SMB,109,72.1
2026-03-09,West,CRM Cloud,Enterprise,9,82.8
2026-03-09,West,CRM Cloud,Mid-Market,29,80.5
2026-03-09,West,CRM Cloud,SMB,117,76.9
2026-03-09,West,Core ERP,Enterprise,12,87.0
2026-03-09,West,Core ERP,Mid-Market,43,84.4
2026-03-09,West,Core ERP,SMB,108,82.7
2026-03-16,East,Analytics Suite,Enterprise,9,75.3
2026-03-16,East,Analytics Suite,Mid-Market,28,72.4
2026-03-16,East,Analytics Suite,SMB,77,71.9
2026-03-16,East,CRM Cloud,Enterprise,7,83.2
2026-03-16,East,CRM Cloud,Mid-Market,34,78.9
2026-03-16,East,CRM Cloud,SMB,82,77.3
2026-03-16,East,Core ERP,Enterprise,8,87.1
2026-03-16,East,Core ERP,Mid-Market,32,84.1
2026-03-16,East,Core ERP,SMB,70,81.6
2026-03-16,North,Analytics Suite,Enterprise,12,74.7
2026-03-16,North,Analytics Suite,Mid-Market,45,73.3
2026-03-16,North,Analytics Suite,SMB,154,72.9
2026-03-16,North,CRM Cloud,Enterprise,8,80.3
2026-03-16,North,CRM Cloud,Mid-Market,55,78.5
2026-03-16,North,CRM Cloud,SMB,110,80.5
2026-03-16,North,Core ERP,Enterprise,14,86.3
2026-03-16,North,Core ERP,Mid-Market,48,84.2
2026-03-16,North,Core ERP,SMB,157,80.1
2026-03-16,South,Analytics Suite,Enterprise,9,76.6
2026-03-16,South,Analytics Suite,Mid-Market,41,72.4
2026-03-16,South,Analytics Suite,SMB,120,75.1
2026-03-16,South,CRM Cloud,Enterprise,9,80.6
2026-03-16,South,CRM Cloud,Mid-Market,51,79.7
2026-03-16,South,CRM Cloud,SMB,104,79.5
2026-03-16,South,Core ERP,Enterprise,9,82.1
2026-03-16,South,Core ERP,Mid-Market,36,83.8
2026-03-16,South,Core ERP,SMB,127,81.3
2026-03-16,West,Analytics Suite,Enterprise,11,75.3
2026-03-16,West,Analytics Suite,Mid-Market,27,72.3
2026-03-16,West,Analytics Suite,SMB,116,71.7
2026-03-16,West,CRM Cloud,Enterprise,9,80.3
2026-03-16,West,CRM Cloud,Mid-Market,48,79.4
2026-03-16,West,CRM Cloud,SMB,105,78.7
2026-03-16,West,Core ERP,Enterprise,7,86.2
2026-03-16,West,Core ERP,Mid-Market,33,86.5
2026-03-16,West,Core ERP,SMB,113,83.0
2026-03-23,East,Analytics Suite,Enterprise,5,72.5
2026-03-23,East,Analytics Suite,Mid-Market,25,73.7
2026-03-23,East,Analytics Suite,SMB,76,72.5
2026-03-23,East,CRM Cloud,Enterprise,7,80.7
2026-03-23,East,CRM Cloud,Mid-Market,31,80.9
2026-03-23,East,CRM Cloud,SMB,93,78.8
2026-03-23,East,Core ERP,Enterprise,9,85.9
2026-03-23,East,Core ERP,Mid-Market,24,83.5
2026-03-23,East,Core ERP,SMB,58,84.4
2026-03-23,North,Analytics Suite,Enterprise,10,73.7
2026-03-23,North,Analytics Suite,Mid-Market,39,75.0
2026-03-23,North,Analytics Suite,SMB,123,70.5
2026-03-23,North,CRM Cloud,Enterprise,7,83.1
2026-03-23,North,CRM Cloud,Mid-Market,42,79.4
2026-03-23,North,CRM Cloud,SMB,132,76.7
2026-03-23,North,Core ERP,Enterprise,9,83.6
2026-03-23,North,Core ERP,Mid-Market,51,84.2
2026-03-23,North,Core ERP,SMB,151,81.3
2026-03-23,South,Analytics Suite,Enterprise,16,73.9
2026-03-23,South,Analytics Suite,Mid-Market,30,73.2
2026-03-23,South,Analytics Suite,SMB,96,72.2
2026-03-23,South,CRM Cloud,Enterprise,13,83.7
2026-03-23,South,CRM Cloud,Mid-Market,49,76.9
2026-03-23,South,CRM Cloud,SMB,122,78.8
2026-03-23,South,Core ERP,Enterprise,10,85.5
2026-03-23,South,Core ERP,Mid-Market,46,83.8
2026-03-23,South,Core ERP,SMB,84,82.6
2026-03-23,West,Analytics Suite,Enterprise,4,76.6
2026-03-23,West,Analytics Suite,Mid-Market,37,75.3
2026-03-23,West,Analytics Suite,SMB,103,72.4
2026-03-23,West,CRM Cloud,Enterprise,9,82.2
2026-03-23,West,CRM Cloud,Mid-Market,34,79.5
2026-03-23,West,CRM Cloud,SMB,108,79.5
2026-03-23,West,Core ERP,Enterprise,8,83.8
2026-03-23,West,Core ERP,Mid-Market,54,83.0
2026-03-23,West,Core ERP,SMB,109,83.7
2026-03-30,East,Analytics Suite,Enterprise,8,71.6
2026-03-30,East,Analytics Suite,Mid-Market,35,73.5
2026-03-30,East,Analytics Suite,SMB,101,69.0
2026-03-30,East,CRM Cloud,Enterprise,7,81.2
2026-03-30,East,CRM Cloud,Mid-Market,21,77.1
2026-03-30,East,CRM Cloud,SMB,114,77.1
2026-03-30,East,Core ERP,Enterprise,7,80.9
2026-03-30,East,Core ERP,Mid-Market,36,83.5
2026-03-30,East,Core ERP,SMB,81,82.9
2026-03-30,North,Analytics Suite,Enterprise,7,73.3
2026-03-30,North,Analytics Suite,Mid-Market,44,75.8
2026-03-30,North,Analytics Suite,SMB,129,68.4
2026-03-30,North,CRM Cloud,Enterprise,9,77.1
2026-03-30,North,CRM Cloud,Mid-Market,49,79.2
2026-03-30,North,CRM Cloud,SMB,104,76.2
2026-03-30,North,Core ERP,Enterprise,11,83.1
2026-03-30,North,Core ERP,Mid-Market,39,82.0
2026-03-30,North,Core ERP,SMB,131,80.9
2026-03-30,South,Analytics Suite,Enterprise,11,73.4
2026-03-30,South,Analytics Suite,Mid-Market,28,72.0
2026-03-30,South,Analytics Suite,SMB,99,70.1
2026-03-30,South,CRM Cloud,Enterprise,9,80.9
2026-03-30,South,CRM Cloud,Mid-Market,43,79.6
2026-03-30,South,CRM Cloud,SMB,95,73.7
2026-03-30,South,Core ERP,Enterprise,10,82.0
2026-03-30,South,Core ERP,Mid-Market,29,80.7
2026-03-30,South,Core ERP,SMB,83,81.6
2026-03-30,West,Analytics Suite,Enterprise,12,71.0
2026-03-30,West,Analytics Suite,Mid-Market,44,72.0
2026-03-30,West,Analytics Suite,SMB,138,69.2
