date,region,product,customer_segment,agent_team,ai_assisted,contacts,resolved_contacts,first_contact_resolutions,repeat_contacts,total_handling_seconds
2026-01-01,West,Analytics Suite,Mid-Market,Gamma,False,14,13,12,3,10147
2026-01-01,West,Analytics Suite,SMB,Alpha,False,37,37,18,5,27415
2026-01-01,West,Analytics Suite,SMB,Beta,False,62,61,35,14,45124
2026-01-01,West,Analytics Suite,SMB,Gamma,False,50,48,35,12,38015
2026-01-02,North,Core ERP,Enterprise,Alpha,False,6,6,6,0,3020
2026-01-02,North,Core ERP,Enterprise,Beta,False,6,5,5,1,2175
2026-01-02,North,Core ERP,Enterprise,Gamma,False,7,7,6,0,2970
2026-01-02,North,Core ERP,Mid-Market,Alpha,False,23,22,20,3,10034
2026-01-02,North,Core ERP,Mid-Market,Beta,False,22,22,16,2,7968
2026-01-02,North,Core ERP,Mid-Market,Gamma,False,17,17,12,2,7833
2026-01-02,North,Core ERP,SMB,Alpha,False,86,84,55,11,32977
2026-01-02,North,Core ERP,SMB,Beta,False,82,82,66,8,37370
2026-01-02,North,Core ERP,SMB,Gamma,False,45,45,41,10,22339
2026-01-02,North,CRM Cloud,Enterprise,Alpha,False,4,4,3,0,2417
2026-01-02,North,CRM Cloud,Enterprise,Beta,False,9,9,6,2,5302
2026-01-02,North,CRM Cloud,Enterprise,Gamma,False,8,7,6,1,4238
2026-01-02,North,CRM Cloud,Mid-Market,Alpha,False,19,19,15,4,12538
2026-01-02,North,CRM Cloud,Mid-Market,Beta,False,16,16,16,1,10072
2026-01-02,North,CRM Cloud,Mid-Market,Gamma,False,31,31,24,2,19687
2026-01-02,North,CRM Cloud,SMB,Alpha,False,89,86,67,16,51830
2026-01-02,North,CRM Cloud,SMB,Beta,False,58,58,39,9,33746
2026-01-02,North,CRM Cloud,SMB,Gamma,False,43,41,31,9,25312
2026-01-02,North,Analytics Suite,Enterprise,Alpha,False,8,8,6,3,6244
2026-01-02,North,Analytics Suite,Enterprise,Beta,False,6,5,3,0,3956
2026-01-02,North,Analytics Suite,Enterprise,Gamma,False,6,6,3,1,4974
2026-01-02,North,Analytics Suite,Mid-Market,Alpha,False,21,20,15,4,15350
2026-01-02,North,Analytics Suite,Mid-Market,Beta,False,19,18,10,6,13376
2026-01-02,North,Analytics Suite,Mid-Market,Gamma,False,16,16,8,2,12874
2026-01-02,North,Analytics Suite,SMB,Alpha,False,60,59,33,6,41465
2026-01-02,North,Analytics Suite,SMB,Beta,False,85,83,50,16,60543
2026-01-02,North,Analytics Suite,SMB,Gamma,False,54,53,40,15,47295
2026-01-02,South,Core ERP,Enterprise,Alpha,False,7,7,5,2,3177
2026-01-02,South,Core ERP,Enterprise,Beta,False,2,2,1,1,774
2026-01-02,South,Core ERP,Enterprise,Gamma,False,3,3,0,1,1587
2026-01-02,South,Core ERP,Mid-Market,Alpha,False,15,15,11,1,6275
2026-01-02,South,Core ERP,Mid-Market,Beta,False,14,14,9,2,5678
2026-01-02,South,Core ERP,Mid-Market,Gamma,False,15,15,12,3,6984
2026-01-02,South,Core ERP,SMB,Alpha,False,51,51,34,4,23911
2026-01-02,South,Core ERP,SMB,Beta,False,60,59,44,8,24813
2026-01-02,South,Core ERP,SMB,Gamma,False,61,59,49,12,29109
2026-01-02,South,CRM Cloud,Enterprise,Alpha,False,4,4,4,1,2708
2026-01-02,South,CRM Cloud,Enterprise,Beta,False,5,5,4,1,2858
2026-01-02,South,CRM Cloud,Enterprise,Gamma,False,7,7,5,1,4356
2026-01-02,South,CRM Cloud,Mid-Market,Alpha,False,13,13,11,3,8386
2026-01-02,South,CRM Cloud,Mid-Market,Beta,False,18,18,13,0,10709
2026-01-02,South,CRM Cloud,Mid-Market,Gamma,False,22,21,16,3,12394
2026-01-02,South,CRM Cloud,SMB,Alpha,False,37,36,25,8,19754
2026-01-02,South,CRM Cloud,SMB,Beta,False,61,59,34,10,35418
2026-01-02,South,CRM Cloud,SMB,Gamma,False,51,48,37,4,29842
2026-01-02,South,Analytics Suite,Enterprise,Alpha,False,2,2,2,0,1496
2026-01-02,South,Analytics Suite,Enterprise,Beta,False,8,8,5,2,5630
2026-01-02,South,Analytics Suite,Enterprise,Gamma,False,7,7,5,2,5561
2026-01-02,South,Analytics Suite,Mid-Market,Alpha,False,15,15,7,3,12137
2026-01-02,South,Analytics Suite,Mid-Market,Beta,False,12,12,7,3,8880
2026-01-02,South,Analytics Suite,Mid-Market,Gamma,False,16,16,11,0,12485
2026-01-02,South,Analytics Suite,SMB,Alpha,False,54,52,32,7,40717
2026-01-02,South,Analytics Suite,SMB,Beta,False,69,68,46,13,49242
2026-01-02,South,Analytics Suite,SMB,Gamma,False,65,64,38,16,53019
2026-01-02,East,Core ERP,Enterprise,Alpha,False,5,5,4,0,2460
2026-01-02,East,Core ERP,Enterprise,Beta,False,2,2,1,0,825
2026-01-02,East,Core ERP,Enterprise,Gamma,False,5,5,4,1,2563
2026-01-02,East,Core ERP,Mid-Market,Alpha,False,12,12,10,1,5081
2026-01-02,East,Core ERP,Mid-Market,Beta,False,11,10,8,1,4387
2026-01-02,East,Core ERP,Mid-Market,Gamma,False,13,13,9,2,5733
2026-01-02,East,Core ERP,SMB,Alpha,False,47,45,37,6,21103
2026-01-02,East,Core ERP,SMB,Beta,False,44,44,29,3,20093
2026-01-02,East,Core ERP,SMB,Gamma,False,33,33,22,5,15768
2026-01-02,East,CRM Cloud,Enterprise,Alpha,False,3,3,2,1,1679
2026-01-02,East,CRM Cloud,Enterprise,Beta,False,1,1,1,0,582
2026-01-02,East,CRM Cloud,Enterprise,Gamma,False,5,5,4,0,3181
2026-01-02,East,CRM Cloud,Mid-Market,Alpha,False,19,19,14,4,11416
2026-01-02,East,CRM Cloud,Mid-Market,Beta,False,9,9,6,3,5138
2026-01-02,East,CRM Cloud,Mid-Market,Gamma,False,16,15,11,4,9365
2026-01-02,East,CRM Cloud,SMB,Alpha,False,49,48,30,8,28166
2026-01-02,East,CRM Cloud,SMB,Beta,False,28,27,18,10,15967
2026-01-02,East,CRM Cloud,SMB,Gamma,False,48,47,34,8,29676
2026-01-02,East,Analytics Suite,Enterprise,Alpha,False,2,2,1,0,1459
2026-01-02,East,Analytics Suite,Enterprise,Beta,False,6,6,4,1,4129
2026-01-02,East,Analytics Suite,Enterprise,Gamma,False,3,3,3,2,2434
2026-01-02,East,Analytics Suite,Mid-Market,Alpha,False,14,14,8,7,10549
2026-01-02,East,Analytics Suite,Mid-Market,Beta,False,20,19,10,3,13993
2026-01-02,East,Analytics Suite,Mid-Market,Gamma,False,13,13,11,2,10389
2026-01-02,East,Analytics Suite,SMB,Alpha,False,31,31,17,8,23832
2026-01-02,East,Analytics Suite,SMB,Beta,False,46,44,30,8,31054
2026-01-02,East,Analytics Suite,SMB,Gamma,False,45,43,28,8,35045
2026-01-02,West,Core ERP,Enterprise,Alpha,False,5,5,3,0,2418
2026-01-02,West,Core ERP,Enterprise,Beta,False,5,5,5,1,1992
2026-01-02,West,Core ERP,Enterprise,Gamma,False,3,3,3,1,1340
2026-01-02,West,Core ERP,Mid-Market,Alpha,False,18,17,13,3,5874
2026-01-02,West,Core ERP,Mid-Market,Beta,False,18,18,11,3,7225
2026-01-02,West,Core ERP,Mid-Market,Gamma,False,19,18,16,2,8160
2026-01-02,West,Core ERP,SMB,Alpha,False,61,59,45,9,25710
2026-01-02,West,Core ERP,SMB,Beta,False,43,41,34,6,17321
2026-01-02,West,Core ERP,SMB,Gamma,False,64,62,45,8,29567
2026-01-02,West,CRM Cloud,Enterprise,Alpha,False,6,6,5,1,3604
2026-01-02,West,CRM Cloud,Enterprise,Beta,False,7,7,6,0,4008
2026-01-02,West,CRM Cloud,Enterprise,Gamma,False,2,2,2,1,1296
2026-01-02,West,CRM Cloud,Mid-Market,Alpha,False,28,28,21,5,16956
2026-01-02,West,CRM Cloud,Mid-Market,Beta,False,15,15,13,4,9087
2026-01-02,West,CRM Cloud,Mid-Market,Gamma,False,29,29,19,5,16944
2026-01-02,West,CRM Cloud,SMB,Alpha,False,48,48,31,8,28611
2026-01-02,West,CRM Cloud,SMB,Beta,False,59,59,31,8,30027
2026-01-02,West,CRM Cloud,SMB,Gamma,False,45,45,34,4,29225
2026-01-02,West,Analytics Suite,Enterprise,Alpha,False,6,6,2,0,4857
2026-01-02,West,Analytics Suite,Enterprise,Beta,False,8,7,5,1,5574
2026-01-02,West,Analytics Suite,Enterprise,Gamma,False,5,5,2,0,3934
2026-01-02,West,Analytics Suite,Mid-Market,Alpha,False,24,24,12,5,17818
2026-01-02,West,Analytics Suite,Mid-Market,Beta,False,20,20,10,6,15686
2026-01-02,West,Analytics Suite,Mid-Market,Gamma,False,26,25,18,2,20957
2026-01-02,West,Analytics Suite,SMB,Alpha,False,38,37,23,5,30335
2026-01-02,West,Analytics Suite,SMB,Beta,False,52,52,35,13,36212
2026-01-02,West,Analytics Suite,SMB,Gamma,False,36,33,25,8,27340
2026-01-03,North,Core ERP,Enterprise,Alpha,False,1,1,1,0,461
2026-01-03,North,Core ERP,Enterprise,Beta,False,1,1,1,0,441
2026-01-03,North,Core ERP,Enterprise,Gamma,False,2,2,1,0,948
2026-01-03,North,Core ERP,Mid-Market,Alpha,False,9,9,7,3,3839
2026-01-03,North,Core ERP,Mid-Market,Beta,False,6,6,6,1,2476
2026-01-03,North,Core ERP,Mid-Market,Gamma,False,4,4,2,0,1836
2026-01-03,North,Core ERP,SMB,Alpha,False,20,19,13,2,8774
2026-01-03,North,Core ERP,SMB,Beta,False,14,13,10,3,5823
2026-01-03,North,Core ERP,SMB,Gamma,False,21,21,15,3,9782
2026-01-03,North,CRM Cloud,Enterprise,Alpha,False,3,3,2,0,1690
2026-01-03,North,CRM Cloud,Enterprise,Beta,False,3,3,2,0,1765
2026-01-03,North,CRM Cloud,Enterprise,Gamma,False,1,1,0,1,663
2026-01-03,North,CRM Cloud,Mid-Market,Alpha,False,5,5,5,0,2924
2026-01-03,North,CRM Cloud,Mid-Market,Beta,False,5,5,3,1,2881
2026-01-03,North,CRM Cloud,Mid-Market,Gamma,False,6,6,4,1,3498
2026-01-03,North,CRM Cloud,SMB,Alpha,False,11,11,7,5,7260
2026-01-03,North,CRM Cloud,SMB,Beta,False,15,15,12,3,9169
2026-01-03,North,CRM Cloud,SMB,Gamma,False,21,21,11,2,13719
2026-01-03,North,Analytics Suite,Enterprise,Alpha,False,4,4,2,1,3096
2026-01-03,North,Analytics Suite,Enterprise,Beta,False,1,1,0,0,715
2026-01-03,North,Analytics Suite,Enterprise,Gamma,False,1,1,1,0,819
2026-01-03,North,Analytics Suite,Mid-Market,Alpha,False,6,6,4,1,4663
2026-01-03,North,Analytics Suite,Mid-Market,Beta,False,7,7,4,3,5152
2026-01-03,North,Analytics Suite,Mid-Market,Gamma,False,8,8,4,1,6277
2026-01-03,North,Analytics Suite,SMB,Alpha,False,17,16,8,4,12255
2026-01-03,North,Analytics Suite,SMB,Beta,False,18,16,13,3,12715
2026-01-03,North,Analytics Suite,SMB,Gamma,False,23,22,17,3,17606
2026-01-03,South,Core ERP,Enterprise,Alpha,False,2,2,0,1,867
2026-01-03,South,Core ERP,Enterprise,Beta,False,1,1,1,0,429
2026-01-03,South,Core ERP,Enterprise,Gamma,False,2,2,2,0,969
2026-01-03,South,Core ERP,Mid-Market,Alpha,False,2,2,1,0,876
2026-01-03,South,Core ERP,Mid-Market,Beta,False,7,6,6,1,2488
2026-01-03,South,Core ERP,Mid-Market,Gamma,False,4,4,2,0,1912
2026-01-03,South,Core ERP,SMB,Alpha,False,18,18,15,3,8190
2026-01-03,South,Core ERP,SMB,Beta,False,9,9,6,1,4118
2026-01-03,South,Core ERP,SMB,Gamma,False,14,14,9,4,6509
2026-01-03,South,CRM Cloud,Enterprise,Alpha,False,1,1,0,0,591
2026-01-03,South,CRM Cloud,Enterprise,Beta,False,2,2,2,0,1222
2026-01-03,South,CRM Cloud,Enterprise,Gamma,False,2,2,2,0,1166
2026-01-03,South,CRM Cloud,Mid-Market,Alpha,False,6,6,4,1,3545
2026-01-03,South,CRM Cloud,Mid-Market,Beta,False,5,5,4,0,2858
2026-01-03,South,CRM Cloud,Mid-Market,Gamma,False,4,4,3,1,2655
2026-01-03,South,CRM Cloud,SMB,Alpha,False,21,20,11,0,12356
2026-01-03,South,CRM Cloud,SMB,Beta,False,17,17,11,4,10125
2026-01-03,South,CRM Cloud,SMB,Gamma,False,18,17,13,2,10325
2026-01-03,South,Analytics Suite,Enterprise,Alpha,False,1,1,1,0,771
2026-01-03,South,Analytics Suite,Enterprise,Beta,False,2,2,1,0,1500
2026-01-03,South,Analytics Suite,Enterprise,Gamma,False,1,1,1,0,817
2026-01-03,South,Analytics Suite,Mid-Market,Alpha,False,2,2,2,1,1551
2026-01-03,South,Analytics Suite,Mid-Market,Beta,False,8,8,2,2,6119
2026-01-03,South,Analytics Suite,Mid-Market,Gamma,False,7,6,4,1,4787
2026-01-03,South,Analytics Suite,SMB,Alpha,False,10,10,5,1,7601
2026-01-03,South,Analytics Suite,SMB,Beta,False,16,16,9,3,11532
2026-01-03,South,Analytics Suite,SMB,Gamma,False,9,9,4,1,7446
2026-01-03,East,Core ERP,Enterprise,Alpha,False,2,2,2,0,957
2026-01-03,East,Core ERP,Enterprise,Beta,False,1,1,0,0,493
2026-01-03,East,Core ERP,Enterprise,Gamma,False,1,1,1,1,522
2026-01-03,East,Core ERP,Mid-Market,Alpha,False,4,4,3,1,1733
2026-01-03,East,Core ERP,Mid-Market,Beta,False,6,6,5,0,2366
2026-01-03,East,Core ERP,Mid-Market,Gamma,False,3,3,2,0,1353
2026-01-03,East,Core ERP,SMB,Alpha,False,11,11,10,0,4868
2026-01-03,East,Core ERP,SMB,Beta,False,6,4,4,0,1525
2026-01-03,East,Core ERP,SMB,Gamma,False,13,13,9,0,6185
2026-01-03,East,CRM Cloud,Enterprise,Alpha,False,1,1,1,0,611
2026-01-03,East,CRM Cloud,Enterprise,Beta,False,1,1,1,1,553
2026-01-03,East,CRM Cloud,Enterprise,Gamma,False,1,1,1,0,587
2026-01-03,East,CRM Cloud,Mid-Market,Alpha,False,1,1,1,0,562
2026-01-03,East,CRM Cloud,Mid-Market,Beta,False,3,3,2,0,1712
2026-01-03,East,CRM Cloud,Mid-Market,Gamma,False,2,2,0,1,1226
2026-01-03,East,CRM Cloud,SMB,Alpha,False,9,9,6,1,5619
2026-01-03,East,CRM Cloud,SMB,Beta,False,8,8,4,2,4454
2026-01-03,East,CRM Cloud,SMB,Gamma,False,9,9,7,0,5984
2026-01-03,East,Analytics Suite,Enterprise,Alpha,False,1,1,0,0,748
2026-01-03,East,Analytics Suite,Enterprise,Beta,False,1,1,0,1,780
2026-01-03,East,Analytics Suite,Enterprise,Gamma,False,2,2,1,0,1590
2026-01-03,East,Analytics Suite,Mid-Market,Alpha,False,6,6,3,0,4743
2026-01-03,East,Analytics Suite,Mid-Market,Beta,False,6,5,2,0,3648
2026-01-03,East,Analytics Suite,Mid-Market,Gamma,False,3,3,3,0,2513
2026-01-03,East,Analytics Suite,SMB,Alpha,False,11,11,3,1,8629
2026-01-03,East,Analytics Suite,SMB,Beta,False,18,18,12,2,13155
2026-01-03,East,Analytics Suite,SMB,Gamma,False,13,13,9,2,10149
2026-01-03,West,Core ERP,Enterprise,Alpha,False,3,3,1,1,1406
2026-01-03,West,Core ERP,Enterprise,Beta,False,3,3,2,0,1167
2026-01-03,West,Core ERP,Enterprise,Gamma,False,4,4,4,0,2051
2026-01-03,West,Core ERP,Mid-Market,Alpha,False,8,8,7,1,3807
2026-01-03,West,Core ERP,Mid-Market,Beta,False,5,5,4,2,2018
2026-01-03,West,Core ERP,Mid-Market,Gamma,False,5,4,4,0,1770
2026-01-03,West,Core ERP,SMB,Alpha,False,19,18,16,3,8083
2026-01-03,West,Core ERP,SMB,Beta,False,18,18,10,1,7529
2026-01-03,West,Core ERP,SMB,Gamma,False,13,12,8,0,6039
2026-01-03,West,CRM Cloud,Enterprise,Alpha,False,1,1,0,0,624
2026-01-03,West,CRM Cloud,Enterprise,Beta,False,1,1,1,0,548
2026-01-03,West,CRM Cloud,Enterprise,Gamma,False,3,3,3,0,2071
2026-01-03,West,CRM Cloud,Mid-Market,Alpha,False,4,4,4,0,2416
2026-01-03,West,CRM Cloud,Mid-Market,Beta,False,5,5,4,1,2647
2026-01-03,West,CRM Cloud,Mid-Market,Gamma,False,5,5,4,0,3004
2026-01-03,West,CRM Cloud,SMB,Alpha,False,18,18,12,2,11337
2026-01-03,West,CRM Cloud,SMB,Beta,False,9,9,7,0,4925
2026-01-03,West,CRM Cloud,SMB,Gamma,False,16,16,13,2,9931
2026-01-03,West,Analytics Suite,Enterprise,Alpha,False,3,3,1,1,2401
2026-01-03,West,Analytics Suite,Enterprise,Beta,False,1,1,1,0,757
2026-01-03,West,Analytics Suite,Enterprise,Gamma,False,2,2,2,0,1625
2026-01-03,West,Analytics Suite,Mid-Market,Alpha,False,6,6,1,2,4622
2026-01-03,West,Analytics Suite,Mid-Market,Beta,False,5,5,3,1,3704
2026-01-03,West,Analytics Suite,Mid-Market,Gamma,False,9,8,7,0,6641
2026-01-03,West,Analytics Suite,SMB,Alpha,False,16,16,9,4,13247
2026-01-03,West,Analytics Suite,SMB,Beta,False,12,12,8,2,8461
2026-01-03,West,Analytics Suite,SMB,Gamma,False,23,22,13,3,17991
2026-01-04,North,Core ERP,Enterprise,Alpha,False,3,3,2,0,1293
2026-01-04,North,Core ERP,Enterprise,Beta,False,1,1,0,0,441
2026-01-04,North,Core ERP,Enterprise,Gamma,False,1,1,1,0,522
2026-01-04,North,Core ERP,Mid-Market,Alpha,False,9,9,7,2,4156
2026-01-04,North,Core ERP,Mid-Market,Beta,False,8,8,7,0,3072
2026-01-04,North,Core ERP,Mid-Market,Gamma,False,6,4,4,0,1757
2026-01-04,North,Core ERP,SMB,Alpha,False,18,17,14,3,6783
2026-01-04,North,Core ERP,SMB,Beta,False,18,18,14,3,8481
2026-01-04,North,Core ERP,SMB,Gamma,False,17,17,15,2,9161
2026-01-04,North,CRM Cloud,Enterprise,Alpha,False,2,2,2,0,1182
2026-01-04,North,CRM Cloud,Enterprise,Beta,False,2,2,2,0,1090
2026-01-04,North,CRM Cloud,Enterprise,Gamma,False,3,3,2,0,1889
2026-01-04,North,CRM Cloud,Mid-Market,Alpha,False,2,2,1,1,1195
2026-01-04,North,CRM Cloud,Mid-Market,Beta,False,5,4,3,0,2265
2026-01-04,North,CRM Cloud,Mid-Market,Gamma,False,5,5,2,0,3116
2026-01-04,North,CRM Cloud,SMB,Alpha,False,13,13,11,1,7425
2026-01-04,North,CRM Cloud,SMB,Beta,False,15,15,10,4,9309
2026-01-04,North,CRM Cloud,SMB,Gamma,False,17,16,13,2,10883
2026-01-04,North,Analytics Suite,Enterprise,Alpha,False,3,3,3,0,2234
2026-01-04,North,Analytics Suite,Enterprise,Beta,False,1,1,0,0,654
2026-01-04,North,Analytics Suite,Enterprise,Gamma,False,2,2,0,0,1683
2026-01-04,North,Analytics Suite,Mid-Market,Alpha,False,6,6,4,1,4900
2026-01-04,North,Analytics Suite,Mid-Market,Beta,False,6,6,3,0,4391
2026-01-04,North,Analytics Suite,Mid-Market,Gamma,False,9,9,8,4,7794
2026-01-04,North,Analytics Suite,SMB,Alpha,False,20,20,14,5,15498
2026-01-04,North,Analytics Suite,SMB,Beta,False,16,16,7,3,11909
